종목명,종목코드,상장시장
삼성전자,005930,KOSPI
SK하이닉스,000660,KOSPI
NAVER,035420,KOSPI
카카오,035720,KOSPI
삼성바이오로직스,207940,KOSPI
삼성전자우,005935,KOSPI
LG화학,051910,KOSPI
삼성SDI,006400,KOSPI
현대차,005380,KOSPI
셀트리온,068270,KOSPI
기아,000270,KOSPI
POSCO,005490,KOSPI
LG전자,066570,KOSPI
삼성물산,028260,KOSPI
현대모비스,012330,KOSPI
SK이노베이션,096770,KOSPI
LG생활건강,051900,KOSPI
SK텔레콤,017670,KOSPI
KB금융,105560,KOSPI
신한지주,055550,KOSPI
SK,034730,KOSPI
엔씨소프트,036570,KOSPI
HMM,011200,KOSPI
한국전력,015760,KOSPI
삼성생명,032830,KOSPI
삼성에스디에스,018260,KOSPI
삼성전기,009150,KOSPI
아모레퍼시픽,090430,KOSPI
하나금융지주,086790,KOSPI
넷마블,251270,KOSPI
포스코케미칼,003670,KOSPI
하이브,352820,KOSPI
두산중공업,034020,KOSPI
S-Oil,010950,KOSPI
KT&G,033780,KOSPI
대한항공,003490,KOSPI
삼성화재,000810,KOSPI
고려아연,010130,KOSPI
한국조선해양,009540,KOSPI
SK바이오팜,326030,KOSPI
롯데케미칼,011170,KOSPI
KT,030200,KOSPI
한온시스템,018880,KOSPI
LG디스플레이,034220,KOSPI
우리금융지주,316140,KOSPI
한화솔루션,009830,KOSPI
기업은행,024110,KOSPI
현대글로비스,086280,KOSPI
현대제철,004020,KOSPI
CJ제일제당,097950,KOSPI
LG유플러스,032640,KOSPI
금호석유,011780,KOSPI
코웨이,021240,KOSPI
현대건설,000720,KOSPI
한국타이어앤테크놀로지,161390,KOSPI
미래에셋증권,006800,KOSPI
강원랜드,035250,KOSPI
한국금융지주,071050,KOSPI
현대중공업지주,267250,KOSPI
LG이노텍,011070,KOSPI
한미사이언스,008930,KOSPI
아모레G,002790,KOSPI
삼성엔지니어링,028050,KOSPI
이마트,139480,KOSPI
오리온,271560,KOSPI
두산밥캣,241560,KOSPI
한진칼,180640,KOSPI
유한양행,000100,KOSPI
KODEX 200,069500,KOSPI
CJ대한통운,000120,KOSPI
GS,078930,KOSPI
쌍용C&E,003410,KOSPI
삼성카드,029780,KOSPI
팬오션,028670,KOSPI
롯데지주,004990,KOSPI
DB손해보험,005830,KOSPI
삼성증권,016360,KOSPI
한미약품,128940,KOSPI
현대차2우B,005387,KOSPI
효성티앤씨,298020,KOSPI
GS건설,006360,KOSPI
