종목명,종목코드,상장시장
삼성전자,5930,KOSPI
SK하이닉스,660,KOSPI
NAVER,35420,KOSPI
카카오,35720,KOSPI
삼성바이오로직스,207940,KOSPI
삼성전자우,5935,KOSPI
LG화학,51910,KOSPI
삼성SDI,6400,KOSPI
현대차,5380,KOSPI
셀트리온,68270,KOSPI
기아,270,KOSPI
POSCO,5490,KOSPI
LG전자,66570,KOSPI
삼성물산,28260,KOSPI
현대모비스,12330,KOSPI
SK이노베이션,96770,KOSPI
LG생활건강,51900,KOSPI
SK텔레콤,17670,KOSPI
KB금융,105560,KOSPI
신한지주,55550,KOSPI
SK,34730,KOSPI
엔씨소프트,36570,KOSPI
HMM,11200,KOSPI
한국전력,15760,KOSPI
삼성생명,32830,KOSPI
삼성에스디에스,18260,KOSPI
삼성전기,9150,KOSPI
아모레퍼시픽,90430,KOSPI
하나금융지주,86790,KOSPI
넷마블,251270,KOSPI
포스코케미칼,3670,KOSPI
하이브,352820,KOSPI
두산중공업,34020,KOSPI
S-Oil,10950,KOSPI
KT&G,33780,KOSPI
대한항공,3490,KOSPI
삼성화재,810,KOSPI
고려아연,10130,KOSPI
한국조선해양,9540,KOSPI
SK바이오팜,326030,KOSPI
롯데케미칼,11170,KOSPI
KT,30200,KOSPI
한온시스템,18880,KOSPI
LG디스플레이,34220,KOSPI
우리금융지주,316140,KOSPI
한화솔루션,9830,KOSPI
기업은행,24110,KOSPI
현대글로비스,86280,KOSPI
현대제철,4020,KOSPI
CJ제일제당,97950,KOSPI
LG유플러스,32640,KOSPI
금호석유,11780,KOSPI
코웨이,21240,KOSPI
현대건설,720,KOSPI
한국타이어앤테크놀로지,161390,KOSPI
미래에셋증권,6800,KOSPI
강원랜드,35250,KOSPI
한국금융지주,71050,KOSPI
현대중공업지주,267250,KOSPI
LG이노텍,11070,KOSPI
한미사이언스,8930,KOSPI
아모레G,2790,KOSPI
삼성엔지니어링,28050,KOSPI
이마트,139480,KOSPI
오리온,271560,KOSPI
두산밥캣,241560,KOSPI
한진칼,180640,KOSPI
유한양행,100,KOSPI
KODEX 200,69500,KOSPI
CJ대한통운,120,KOSPI
GS,78930,KOSPI
쌍용C&E,3410,KOSPI
삼성카드,29780,KOSPI
팬오션,28670,KOSPI
롯데지주,4990,KOSPI
DB손해보험,5830,KOSPI
삼성증권,16360,KOSPI
한미약품,128940,KOSPI
현대차2우B,5387,KOSPI
효성티앤씨,298020,KOSPI
GS건설,6360,KOSPI
일진머티리얼즈,20150,KOSPI
GS리테일,7070,KOSPI
호텔신라,8770,KOSPI
NH투자증권,5940,KOSPI
씨에스윈드,112610,KOSPI
대우조선해양,42660,KOSPI
현대오토에버,307950,KOSPI
녹십자,6280,KOSPI
메리츠증권,8560,KOSPI
신풍제약,19170,KOSPI
현대미포조선,10620,KOSPI
한국가스공사,36460,KOSPI
포스코인터내셔널,47050,KOSPI
한국항공우주,47810,KOSPI
메리츠금융지주,138040,KOSPI
두산퓨얼셀,336260,KOSPI
휠라홀딩스,81660,KOSPI
한화시스템,272210,KOSPI
롯데쇼핑,23530,KOSPI
키움증권,39490,KOSPI
대우건설,47040,KOSPI
에스원,12750,KOSPI
동서,26960,KOSPI
OCI,10060,KOSPI
한화생명,88350,KOSPI
한솔케미칼,14680,KOSPI
KCC,2380,KOSPI
LG화학우,51915,KOSPI
메리츠화재,60,KOSPI
SK케미칼,285130,KOSPI
만도,204320,KOSPI
제일기획,30000,KOSPI
BGF리테일,282330,KOSPI
한샘,9240,KOSPI
DB하이텍,990,KOSPI
효성첨단소재,298050,KOSPI
신세계,4170,KOSPI
현대로템,64350,KOSPI
현대차우,5385,KOSPI
현대위아,11210,KOSPI
더존비즈온,12510,KOSPI
한화에어로스페이스,12450,KOSPI
효성,4800,KOSPI
BNK금융지주,138930,KOSPI
KODEX 단기채권,153130,KOSPI
하이트진로,80,KOSPI
LS,6260,KOSPI
현대해상,1450,KOSPI
한화,880,KOSPI
대한전선,1440,KOSPI
KODEX 200선물인버스2X,252670,KOSPI
코오롱인더,120110,KOSPI
현대엘리베이,17800,KOSPI
TIGER 200,102110,KOSPI
대웅,3090,KOSPI
한전기술,52690,KOSPI
진원생명과학,11000,KOSPI
HDC현대산업개발,294870,KOSPI
동국제강,1230,KOSPI
농심,4370,KOSPI
금호타이어,73240,KOSPI
오뚜기,7310,KOSPI
한전KPS,51600,KOSPI
LS ELECTRIC,10120,KOSPI
대웅제약,69620,KOSPI
현대백화점,69960,KOSPI
한미반도체,42700,KOSPI
롯데정밀화학,4000,KOSPI
KODEX 삼성그룹,102780,KOSPI
솔루스첨단소재,336370,KOSPI
영원무역,111770,KOSPI
대한유화,6650,KOSPI
한국앤컴퍼니,240,KOSPI
아이에스동서,10780,KOSPI
KG동부제철,16380,KOSPI
두산,150,KOSPI
명신산업,9900,KOSPI
지누스,13890,KOSPI
에스엘,5850,KOSPI
SK네트웍스,1740,KOSPI
DGB금융지주,139130,KOSPI
NHN,181710,KOSPI
JB금융지주,175330,KOSPI
녹십자홀딩스,5250,KOSPI
종근당,185750,KOSPI
부광약품,3000,KOSPI
LG생활건강우,51905,KOSPI
롯데리츠,330590,KOSPI
코스맥스,192820,KOSPI
KODEX 단기채권PLUS,214980,KOSPI
KODEX 레버리지,122630,KOSPI
신세계인터내셔날,31430,KOSPI
KODEX 종합채권(AA-이상)액티브,273130,KOSPI
롯데관광개발,32350,KOSPI
LG전자우,66575,KOSPI
티와이홀딩스,363280,KOSPI
효성화학,298000,KOSPI
KODEX 200TR,278530,KOSPI
영풍,670,KOSPI
TIGER TOP10,292150,KOSPI
한국콜마,161890,KOSPI
롯데칠성,5300,KOSPI
세방전지,4490,KOSPI
이노션,214320,KOSPI
셀트리온헬스케어,91990,KOSDAQ
카카오게임즈,293490,KOSDAQ
에코프로비엠,247540,KOSDAQ
셀트리온제약,68760,KOSDAQ
펄어비스,263750,KOSDAQ
SK머티리얼즈,36490,KOSDAQ
에이치엘비,28300,KOSDAQ
씨젠,96530,KOSDAQ
